"","year(Month_Year)","FirstObs","LastObs"
"1",2010,2010-03-11,2010-11-14
"2",2011,2011-01-02,2011-11-26
"3",2012,2012-01-14,2012-12-24
"4",2013,2013-02-10,2013-12-14
"5",2014,2014-03-10,2014-11-30
"6",2015,2015-01-02,2015-12-28
"7",2016,2016-01-01,2016-12-31
"8",2017,2017-01-01,2017-12-29
"9",2018,2018-01-01,2018-12-31
"10",2019,2019-01-01,2019-12-28
"11",2020,2020-01-03,2020-12-19
"12",2021,2021-01-01,2021-02-28
