"","year(Month_Year)","FirstObs","LastObs"
"1",2010,2010-01-05,2010-11-19
"2",2011,2011-02-10,2011-11-22
"3",2012,2012-01-04,2012-12-31
"4",2013,2013-01-01,2013-12-21
"5",2014,2014-01-05,2014-12-28
"6",2015,2015-01-04,2015-12-19
"7",2016,2016-01-01,2016-12-29
"8",2017,2017-01-10,2017-12-31
"9",2018,2018-01-01,2018-12-23
"10",2019,2019-01-01,2019-12-22
"11",2020,2020-01-01,2020-12-31
"12",2021,2021-01-05,2021-02-28
